보스 포켓몬,추천 포켓몬,노말 기술,스페셜 기술
메가 야도란,"메가
가디안",매지컬리프,섀도볼
메가 야도란,"쉐이미
스카이폼",매지컬리프,풀묶기
메가 야도란,"메가
헤라크로스",벌레의저항,메가혼
메가 야도란,루나아라,섀도클로,섀도볼
메가 야도란,"메가
핫삼",연속자르기,시저크로스
메가 야도란,"기라티나
오리진폼",섀도클로,섀도볼
메가 야도란,다크라이,바크아웃,"섀도볼
악의파동"
메가 야도란,무한다이노,"독찌르기
드래곤테일",다이맥스포**
메가 야도란,"메가
갸라도스",물기,깨물어부수기
메가 야도란,삼삼드래,물기,세차게휘두르기*
메가 야도란,마스카나,나뭇잎,하드플랜트*
메가 야도란,타부자고,"병상첨병
놀래키기",섀도볼
메가 야도란,샹델라,병상첨병,섀도볼
메가 야도란,두파팡,놀래키기,섀도볼
메가 야도란,대도각참,바크아웃,속임수
메가 야도란,드래펄트,놀래키기,섀도볼
메가 야도란,후파,놀래키기,섀도볼
메가 야도란,고릴타,잎날가르기,풀묶기
메가 야도란,조로아크,바크아웃,속임수
메가 야도란,"히스이
조로아크",섀도클로,섀도볼
메가 야도란,타타륜,섀도클로,파워휩
메가 야도란,로즈레이드,매지컬리프,풀묶기
메가 야도란,어흥염,바크아웃,DD래리어트
메가 야도란,브리가론,덩쿨채찍,하드플랜트*
메가 야도란,모크나이퍼,매지컬리프,하드플랜트*
메가 야도란,포트데스,"병상첨병
기습",섀도볼
메가 야도란,렌트라,바크아웃,와일드볼트
메가 야도란,달코퀸,매지컬리프,풀묶기
메가 야도란,투구뿌논,벌레먹기,방전
메가 야도란,불카모스,벌레먹기,벌레의야단법석
메가 야도란,"(그림자)
덩쿠림보",덩쿨채찍,파워휩
메가 야도란,밤선인,기습,풀묶기
메가 야도란,"히스이
블레이범",병상첨병,섀도볼
메가 헬가,"원시
그란돈",머드샷,단애의칼*
메가 헬가,"메가
한카리아스",머드샷,대지의힘*
메가 헬가,"원시, 그림자
가이오가",폭포오르기,근원의파동*
메가 헬가,"메가
대짱이","머드샷
물대포",하이드로캐논*
메가 헬가,"메가
디안시",돌떨구기,스톤샤워
메가 헬가,"메가
루카리오",발경*,파동탄
